complaint_id,customer_id,timestamp,category,resolved
1,912167,2024-12-14 02:28:27.325386,Network Issue,0
2,407768,2025-05-13 22:26:15.514637,Dropped Calls,0
3,294382,2025-06-17 19:08:33.211667,Slow Internet,1
4,761876,2025-01-02 08:53:46.905600,Other,1
5,370702,2025-02-09 16:50:14.739619,Network Issue,1
6,889375,2025-11-21 07:56:00.356198,Billing Issue,0
7,759745,2024-11-25 10:07:10.437230,Billing Issue,0
8,850691,2024-12-16 04:35:48.618486,Other,0
9,130327,2025-09-01 15:26:33.296735,Billing Issue,0
10,310460,2024-12-17 20:48:34.234753,Dropped Calls,1
11,184322,2025-11-23 20:24:28.729270,Network Issue,0
12,781900,2025-08-30 16:44:55.719677,Dropped Calls,1
13,140915,2025-09-24 01:05:58.632921,Network Issue,0
14,656192,2024-12-09 10:26:35.203292,Billing Issue,0
15,766726,2025-07-30 11:07:20.079901,Network Issue,1
16,891776,2025-06-02 22:13:51.937755,Network Issue,1
17,865310,2025-04-17 12:04:08.378972,Billing Issue,1
18,517099,2025-03-19 08:03:42.482398,Network Issue,0
19,641614,2025-11-22 06:07:25.722439,Slow Internet,1
20,934854,2025-11-19 00:41:04.427926,Network Issue,1
21,177414,2025-08-27 18:51:35.967799,Billing Issue,1
22,686850,2025-06-08 20:46:27.020611,Billing Issue,0
23,719500,2025-08-11 13:53:13.945583,Dropped Calls,1
24,306431,2025-01-16 00:56:44.453283,Slow Internet,0
25,274455,2024-12-14 08:32:22.389456,Billing Issue,1
26,220917,2025-10-30 07:08:29.691380,Dropped Calls,0
27,698762,2025-07-10 14:37:29.160480,Other,1
28,708231,2025-10-12 00:33:14.370694,Other,0
29,988096,2025-01-27 14:23:30.883849,Network Issue,1
30,739338,2024-12-19 17:54:29.533106,Slow Internet,0
31,914534,2025-02-15 13:47:03.249670,Billing Issue,0
32,712433,2025-02-27 09:29:40.926825,Other,0
33,846923,2024-12-05 19:54:36.768110,Slow Internet,1
34,508528,2025-05-22 00:13:23.933741,Billing Issue,0
35,905879,2025-05-23 20:45:19.203745,Dropped Calls,1
36,223281,2025-01-20 05:28:32.619187,Slow Internet,1
37,985446,2025-06-25 16:24:32.380002,Billing Issue,0
38,485949,2025-08-05 07:27:41.813154,Slow Internet,0
39,678197,2025-07-19 00:37:28.024937,Billing Issue,0
40,916684,2025-10-20 09:46:37.360730,Other,0
41,897190,2025-03-17 10:40:39.935448,Slow Internet,1
42,350568,2025-03-30 17:14:30.082639,Dropped Calls,1
43,855974,2025-03-08 16:23:58.402193,Network Issue,0
44,126005,2025-08-16 14:46:08.620811,Slow Internet,0
45,351151,2024-12-11 23:15:35.209572,Billing Issue,1
46,555734,2025-08-27 08:04:26.524201,Other,1
47,710044,2025-06-03 08:39:59.719171,Slow Internet,0
48,726780,2025-06-26 12:42:10.444937,Billing Issue,0
49,200071,2025-06-18 03:38:40.110241,Billing Issue,0
50,630634,2025-02-09 18:25:45.829415,Network Issue,0
51,397857,2025-06-21 17:20:25.467882,Other,0
52,225175,2025-07-28 22:49:28.563723,Network Issue,0
53,234789,2025-10-03 04:09:13.060601,Dropped Calls,1
54,604798,2025-07-30 13:45:58.675178,Slow Internet,0
55,803697,2025-03-31 00:43:34.100766,Other,0
56,513956,2025-10-31 23:31:07.608065,Slow Internet,1
57,450432,2025-01-12 08:59:18.534111,Other,0
58,595026,2025-07-14 20:01:29.404197,Billing Issue,0
59,857704,2025-03-26 05:46:10.088616,Other,0
60,764949,2025-10-11 07:41:36.759464,Other,0
61,917829,2025-08-13 10:05:32.410467,Slow Internet,1
62,121567,2025-03-23 23:42:47.098916,Slow Internet,0
63,646418,2025-02-15 09:17:14.918648,Billing Issue,1
64,624021,2025-05-05 18:07:20.683294,Slow Internet,0
65,200020,2025-05-30 04:00:08.716671,Other,0
66,200845,2025-05-01 20:21:18.823303,Slow Internet,1
67,456016,2025-06-02 07:30:00.418979,Network Issue,1
68,985889,2025-09-27 23:03:34.835993,Other,1
69,591140,2024-12-03 12:55:12.846936,Slow Internet,0
70,922476,2025-02-09 17:58:47.776247,Billing Issue,0
71,676408,2025-09-01 18:10:52.638585,Slow Internet,1
72,890331,2025-10-30 01:10:05.718613,Slow Internet,0
73,752928,2025-05-05 02:31:23.747521,Dropped Calls,0
74,505752,2025-07-17 19:34:54.287085,Billing Issue,1
