customer_id,location,service_plan,data_usage,call_duration,complaints,churn
890158,Butwal,Basic,7.49,445,0,0
733652,Biratnagar,Basic,0.9,303,3,1
990234,Bhaktapur,Standard,9.69,523,5,0
601342,Pokhara,Standard,8.18,136,3,0
162547,Lalitpur,Basic,3.91,186,4,0
404566,Lalitpur,Premium,6.32,191,5,0
686593,Butwal,Premium,6.31,501,1,1
147634,Bhaktapur,Basic,6.09,305,3,1
491763,Dharan,Basic,1.58,293,1,0
527488,Pokhara,Basic,7.9,466,5,0
842686,Bhaktapur,Premium,9.84,583,1,0
397555,Dharan,Standard,9.11,153,1,1
883254,Bhaktapur,Premium,7.67,83,0,0
242333,Dharan,Premium,7.26,137,2,0
380319,Bhaktapur,Basic,8.79,251,1,0
749847,Biratnagar,Standard,2.86,527,2,1
223836,Bhaktapur,Basic,6.33,218,1,1
629064,Biratnagar,Basic,1.8,180,1,1
332158,Butwal,Premium,9.16,200,2,0
717182,Butwal,Premium,4.09,108,1,0
559663,Pokhara,Standard,0.56,283,5,1
757897,Biratnagar,Basic,6.77,82,1,1
715334,Pokhara,Premium,5.61,186,3,0
420144,Kathmandu,Basic,0.76,98,0,0
531331,Pokhara,Basic,7.43,594,0,1
303539,Bhaktapur,Premium,9.44,158,1,1
559631,Pokhara,Basic,2.29,285,4,0
597361,Kathmandu,Standard,7.56,100,5,1
169758,Kathmandu,Premium,9.76,242,2,0
467253,Lalitpur,Basic,4.52,393,4,1
931830,Dharan,Basic,6.49,156,3,1
791958,Lalitpur,Standard,5.4,400,1,1
592841,Bhaktapur,Basic,2.13,187,0,1
728659,Butwal,Premium,9.3,21,1,0
243696,Kathmandu,Basic,7.22,459,3,0
148186,Lalitpur,Basic,5.71,320,2,1
944308,Bhaktapur,Basic,5.05,153,0,0
667390,Kathmandu,Basic,0.43,317,5,0
958849,Kathmandu,Basic,3.64,122,3,0
990622,Dharan,Premium,9.1,354,1,0
503599,Dharan,Premium,2.5,94,5,1
781910,Butwal,Premium,4.28,110,1,0
685613,Dharan,Premium,8.47,241,2,0
596310,Biratnagar,Premium,4.75,425,2,1
777803,Bhaktapur,Standard,6.15,263,2,0
259496,Dharan,Standard,0.16,505,5,1
216467,Pokhara,Premium,4.6,543,5,0
871998,Kathmandu,Premium,8.37,483,5,0
824836,Kathmandu,Standard,3.52,123,1,1
482850,Butwal,Basic,8.82,237,2,1
991693,Bhaktapur,Premium,9.16,285,0,1
966474,Biratnagar,Standard,8.7,94,3,0
279397,Pokhara,Standard,6.43,557,3,0
722743,Butwal,Premium,8.72,321,1,1
343974,Lalitpur,Basic,4.13,587,4,1
324803,Dharan,Standard,2.48,191,0,0
776734,Bhaktapur,Basic,8.13,175,2,1
172775,Bhaktapur,Premium,0.36,29,5,0
684139,Butwal,Basic,8.78,508,2,0
112684,Butwal,Premium,5.47,529,0,1
563568,Lalitpur,Standard,3.62,171,1,0
894501,Pokhara,Basic,8.38,475,4,1
842671,Dharan,Premium,9.64,143,5,1
449691,Kathmandu,Standard,6.67,157,2,0
866321,Bhaktapur,Premium,9.92,458,4,1
755834,Pokhara,Standard,1.32,359,1,1
315531,Bhaktapur,Standard,4.69,80,5,0
656587,Bhaktapur,Basic,5.22,518,2,1
699109,Dharan,Premium,9.26,436,3,0
786848,Butwal,Premium,7.63,316,5,1
857765,Butwal,Premium,5.46,469,2,1
995945,Pokhara,Premium,9.11,520,0,1
989324,Kathmandu,Basic,0.85,406,0,0
391730,Kathmandu,Basic,5.76,280,1,0
856893,Butwal,Premium,3.63,397,5,1
462139,Lalitpur,Basic,3.9,448,0,0
912329,Bhaktapur,Premium,8.41,17,0,0
786974,Bhaktapur,Standard,7.14,262,2,1
797587,Dharan,Basic,2.12,116,2,0
521921,Dharan,Premium,6.15,348,2,0
161771,Kathmandu,Basic,1.65,368,5,1
696316,Bhaktapur,Basic,5.94,424,0,0
