tower_id,timestamp,data_load_MB,active_users,network_type
TWR2748,2025-11-14 15:53:24.099108,2664.32,166,4G
TWR9717,2025-10-28 13:28:12.027341,626.5,114,VoLTE
TWR9158,2025-11-20 19:53:53.256363,314.82,114,VoLTE
TWR1350,2025-11-09 13:48:32.576418,959.98,151,VoLTE
TWR1189,2025-11-14 22:14:29.380430,4594.31,427,VoLTE
TWR6548,2025-11-11 13:50:08.578692,1449.51,104,5G
TWR2132,2025-11-19 02:55:02.346565,244.71,57,5G
TWR2043,2025-11-07 06:42:23.678885,3852.1,132,4G
TWR7452,2025-11-04 08:01:00.848325,4522.61,208,5G
TWR5091,2025-11-02 04:06:02.435570,2478.24,241,4G
TWR9671,2025-11-21 07:41:36.877305,4695.17,52,4G
TWR8172,2025-11-09 03:04:10.202390,1801.01,462,4G
TWR2465,2025-10-27 05:52:01.007020,3011.19,113,5G
TWR7241,2025-11-21 15:39:56.591909,4978.16,369,4G
TWR5553,2025-11-06 13:25:12.375672,4693.43,344,4G
TWR4288,2025-11-03 03:16:11.405571,1221.58,493,VoLTE
TWR8199,2025-11-14 15:36:50.370819,2630.64,477,4G
TWR3485,2025-11-03 22:05:14.142452,307.61,480,5G
TWR2995,2025-11-18 17:47:15.700883,3966.3,341,4G
TWR9228,2025-11-25 05:54:50.071699,1578.66,495,4G
TWR5907,2025-11-21 22:14:01.621421,4767.87,52,4G
TWR7422,2025-11-18 14:12:53.452536,470.87,342,4G
TWR5832,2025-10-30 05:30:11.291161,3471.82,388,4G
TWR5146,2025-11-14 16:23:53.232119,1716.08,307,5G
TWR7177,2025-10-29 16:27:42.080739,809.8,166,4G
TWR6387,2025-11-11 06:43:52.950679,2239.51,436,4G
TWR5826,2025-11-23 03:06:22.507652,1618.8,278,VoLTE
TWR6028,2025-11-16 19:10:55.624496,3455.77,442,VoLTE
TWR7660,2025-11-15 05:45:42.426948,1195.88,234,4G
TWR4100,2025-10-29 16:40:26.672244,4671.69,471,4G
TWR9898,2025-11-15 11:07:23.391578,748.05,201,VoLTE
TWR4264,2025-10-28 19:41:26.245235,1853.3,218,VoLTE
TWR5695,2025-10-30 08:48:23.511725,4306.48,285,5G
TWR5402,2025-11-07 15:04:30.846527,2938.28,482,4G
TWR6838,2025-11-19 00:40:09.355531,1587.88,23,5G
TWR3869,2025-11-01 06:23:56.401958,1786.78,324,4G
TWR3135,2025-11-21 06:14:19.773621,3208.1,310,VoLTE
TWR3977,2025-11-21 01:41:55.682009,4367.25,335,4G
TWR3294,2025-11-14 06:17:35.461613,4750.34,285,5G
TWR7439,2025-11-15 10:11:57.702126,3953.4,404,5G
TWR6955,2025-11-22 01:29:38.009354,587.85,344,4G
TWR1850,2025-10-30 14:54:22.071202,2471.12,308,VoLTE
TWR8205,2025-11-03 06:42:55.151755,2198.22,338,VoLTE
TWR7917,2025-11-06 04:33:31.135230,4572.81,64,5G
TWR4507,2025-11-24 13:13:22.592332,1352.54,291,4G
TWR9576,2025-11-03 23:28:05.004030,637.91,154,VoLTE
TWR6581,2025-11-02 06:25:45.815292,2962.98,335,4G
TWR4842,2025-11-17 16:56:06.102233,1597.87,179,5G
TWR9596,2025-11-02 05:52:45.628010,3220.25,319,VoLTE
TWR2288,2025-11-19 12:37:34.110813,4660.39,439,5G
TWR9356,2025-11-04 13:42:19.823697,4983.31,251,4G
TWR7630,2025-11-24 10:45:12.151767,1719.41,246,VoLTE
TWR6976,2025-11-03 23:40:57.724204,1851.68,126,4G
TWR5504,2025-11-14 05:25:44.887072,476.89,377,VoLTE
TWR7842,2025-11-12 10:31:30.171570,624.88,132,VoLTE
TWR6102,2025-11-04 15:58:37.633042,814.39,313,4G
TWR4453,2025-11-23 18:43:53.724071,4277.07,17,4G
TWR8962,2025-11-03 12:29:03.839061,3564.23,145,5G
TWR8877,2025-11-17 13:03:53.974478,3355.94,356,4G
TWR3201,2025-11-05 17:05:56.730879,3004.93,384,VoLTE
TWR3409,2025-11-24 07:43:05.654481,4601.15,97,VoLTE
TWR8895,2025-11-07 06:41:22.814034,3692.79,84,VoLTE
TWR6774,2025-10-30 01:00:31.491606,3571.23,418,VoLTE
TWR6709,2025-11-10 10:02:42.250073,1234.9,253,4G
TWR7678,2025-11-23 15:04:10.096811,951.48,410,4G
TWR7856,2025-11-01 00:07:37.815386,592.58,281,4G
TWR9140,2025-11-23 16:47:49.003625,241.37,332,5G
TWR9177,2025-11-04 01:07:52.810871,4144.62,31,4G
TWR9370,2025-11-21 08:46:16.987806,3930.97,475,VoLTE
TWR7815,2025-11-17 10:19:07.631261,333.34,222,VoLTE
TWR3974,2025-11-01 18:05:37.437035,317.67,233,VoLTE
TWR1641,2025-11-05 15:07:37.136616,3662.14,37,4G
TWR3440,2025-11-21 02:24:35.385829,2619.05,285,5G
TWR4171,2025-11-02 22:24:37.762787,950.38,95,5G
TWR1491,2025-11-13 02:07:14.061973,3599.53,247,4G
TWR2812,2025-11-14 01:49:07.361305,2701.96,336,4G
TWR2417,2025-11-21 23:57:44.709907,4885.04,111,5G
TWR7714,2025-10-27 13:50:16.834834,4953.3,416,4G
TWR3032,2025-11-17 20:37:25.674233,3159.89,213,4G
TWR8840,2025-11-23 01:08:16.197509,640.31,198,4G
TWR2672,2025-11-14 02:16:23.191881,4709.9,92,4G
TWR3913,2025-10-27 06:44:08.054918,2286.59,368,VoLTE
TWR9321,2025-11-04 22:59:02.697419,2738.8,286,5G
TWR8218,2025-11-23 21:46:53.960791,2217.22,19,VoLTE
TWR9135,2025-11-10 06:37:07.051010,1362.3,161,VoLTE
TWR7027,2025-11-03 17:42:25.717500,1841.75,414,4G
TWR6302,2025-11-11 22:07:05.240803,3663.23,28,VoLTE
TWR6512,2025-10-29 22:19:56.015293,3062.4,227,5G
TWR8748,2025-11-18 05:30:19.968546,4435.97,386,VoLTE
TWR9614,2025-11-22 23:29:26.103109,4298.61,499,4G
TWR2959,2025-10-30 00:09:19.032959,188.26,488,5G
TWR9480,2025-11-19 12:13:16.269103,4971.0,335,5G
TWR7243,2025-11-04 20:06:25.663464,4237.38,361,4G
TWR4572,2025-11-20 20:27:11.197127,2786.63,452,5G
TWR4826,2025-11-07 10:43:57.388852,2006.49,427,4G
TWR3832,2025-10-28 12:12:54.532249,4084.39,80,5G
TWR7190,2025-10-29 08:43:16.698254,617.7,396,VoLTE
TWR1049,2025-11-03 17:39:06.343752,3839.82,462,VoLTE
